_title,_artist_id,_year,_height,_width,_supportType,_paintType,_exposed,_file_name_png
The Bedroom,0,1889,92.3,73.6,canvas,oil,The Art Institute of Chicago_USA,tab1.png
Sunflowers,0,1888,95,63,canvas,oil,Many museums,tab2.png
Orange and Yellow ,1,1956,231.1,180.3,canvas,oil,Albright-Knox Art Gallery_Buffalo_USA,tab3.png
The Clown Cha-U-Kao,2,1895,64,49,card,oil,Musée d'Orsay,tab4.png
Evening Glow,3,1884,28.60,43.2,canvas,oil,Yale Center for British Art_USA,tab5.png
Delightful Land (Te Nave Nave Fenua),4,1892,91.3,72.1,canvas,oil,Ohara Museum of Art_Japan,tab6.png
The Kiss,5,1909,18,18,canvas,oil,Belvedere_ Vienna_Austria,tab7.png
Interior in yellow,6,1964,121.7,90.2,canvas,oil,National Gallery of Australia_Canberra,tab8.png
Woman in a Yellow Dress,7,1900,17,14,,watercolor,Collection of Maryhill Museum of Art_Goldendale_USA,tab9.png
Lady in Yellow,8,1888,50.2,40,,,Isabella Stewart Gardner Museum_Boston_USA,tab10.png
Sawmill with Horses in the Foreground,9,1913,112,62,canvas,oil ,Private Collection,tab11.png
The bus,10,1929,26,55.5,canvas,oil ,Dolores Olmedo_Mexico,tab12.png